;id;traffic_sign_code;extra_text;traffic_sign_description;date_installed;locatie_x;locatie_y
1753;2877178;XX | A25;Opgepast fietsers op de rijbaan;Bicycle crossing;11/08/2022;185005.71;187070.73
1755;2877191;B1;;Give way;11/08/2022;184663.33;187066.98
1757;2877207;F49;;Pedestrian crossing;11/08/2022;183849.38;187130.74
1760;2877219;F49;;Pedestrian crossing;11/08/2022;183641.02;187155.47
1767;2877390;GIa | A33;m,300;Traffic lights;11/08/2022;98331.49;211501.72
1772;2877606;XX | C3;Uitgezonderd voetgangers, (brom)fietsen klasse A en B, pedelec en menner;All vehicles prohibited;11/08/2022;187132.77;188717.54
1773;2877611;C3;;All vehicles prohibited;11/08/2022;186864.76;188670.83
1774;2877612;C3;;All vehicles prohibited;11/08/2022;186861.42;188661.43
1776;2877618;C43;Neen,70;Speed limit;11/08/2022;188492.2;189010.07
1778;2877622;C43;Neen,70;Speed limit;11/08/2022;188387.93;188964.02
1779;2877623;C43;Neen,70;Speed limit;11/08/2022;188168.92;188727.47
1780;2877642;C43;Neen,70;Speed limit;11/08/2022;188134.84;188712.41
1782;2877661;F45b;;No exit, except for bicycle;11/08/2022;187310.92;188314.59
1784;2877667;C43;Neen,70;Speed limit;11/08/2022;187309.68;188293.84
1791;2877681;C43;Neen,70;Speed limit;11/08/2022;186494.55;188009.57
1792;2877684;C43;Neen,70;Speed limit;11/08/2022;186163.86;187807.09
1795;2877694;C43 (zone) | C43;"ja,C43,[""400"",""Neen"",""50""],|Neen,70";Speed limit;11/08/2022;186085.12;187793.97
1796;2877700;F49;;Pedestrian crossing;11/08/2022;185545.23;187544.22
1797;2877701;F49;;Pedestrian crossing;11/08/2022;185542.43;187532.33
1803;2877898;C43;Neen,90;Speed limit;12/08/2022;105491.91;210199.71
1804;2877903;GIa | A33;m,300;Traffic lights;12/08/2022;105670.96;210183.35
1810;2877944;F4a | C43 (zone);"ja,C43,[""400"",""Neen"",""50""],";Speed limit zone;12/08/2022;160348.56;204948.75
1811;2877946;XX | F45b;GALGENSTUK;No exit, except for bicycle;12/08/2022;160837.15;204860.59
1815;2877967;F45b | C43 (zone);"ja,C43,[""400"",""Neen"",""50""],";No exit, except for bicycle;12/08/2022;160656.15;204813.83
1823;2878036;F45b;;No exit, except for bicycle;12/08/2022;160662.74;204563.38
1827;2878089;B1 | F4b;;Give way|End of speed limit zone;12/08/2022;159475.2;205360.38
1828;2878092;D7 | F4a | M7;;Speed limit zone|Mopeds Class B forbidden on cycleway;12/08/2022;159479.47;205358.41
1829;2878095;M18 | M7 | D7;;Mopeds Class B forbidden on cycleway;12/08/2022;159488.68;205355.05
1834;2878125;F19 | M18;;One-way street;12/08/2022;181324.39;188641.78
1835;2878127;M12 | C1;;One-way street;12/08/2022;181327.6;188656.75
1836;2878129;F12a;;Living street;12/08/2022;182499.29;187740.67
1837;2878131;F12b | B5;;End of Living street|Stop sign;12/08/2022;182504.53;187732.84
1847;2878155;M12 | C1;;One-way street;12/08/2022;181037.23;188341.05
1848;2878157;M18 | F19;;One-way street;12/08/2022;181038.97;188368.99
1851;2878163;M3 | C3;;Except for bicycles and mopeds|All vehicles prohibited;12/08/2022;181980.0;188269.32
1852;2878165;M3 | C3;;Except for bicycles and mopeds|All vehicles prohibited;12/08/2022;181980.42;188256.11
1869;2878218;B1;;Give way;12/08/2022;187965.99;183090.46
1870;2878220;XX | C21;Uitgezonderd plaatselijk verkeer|7.5;Weight limit;12/08/2022;187567.95;185849.64
1871;2878222;XX | C21;Uitgezonderd plaatselijk verkeer|7.5;Weight limit;12/08/2022;187732.78;185508.41
1878;2878505;F111;;Bicycle road;12/08/2022;104445.141;193115.713
1880;2878949;C19 | C9-C11;;Pedestrians prohibited;12/07/2022;156580.0;177755.625
1885;2879888;A7c;;Road narrows left;12/08/2022;159556.97;205348.79
1892;2879903;D10;;Pedestrian and bicycle path;12/08/2022;158638.97;205269.96
1903;2880406;F49;;Pedestrian crossing;12/08/2022;158663.65;205317.2
1906;2880419;F49;;Pedestrian crossing;12/08/2022;158646.23;205328.41
1908;2880428;M2 | C1;;Except for bicycles|One-way street;12/08/2022;158665.04;205381.96
1909;2880460;F19 | M4;;One-way street|Not oneway for bicycles;12/08/2022;158635.68;205381.18
1910;2880462;F111 (zone) | F45b;"neen,F111,[""400x600""],";No exit, except for bicycle;12/08/2022;158641.14;205345.88
1911;2880470;F87;;Speed bump;12/08/2022;158631.34;205361.74
1912;2880471;F87;;Speed bump;12/08/2022;158631.34;205361.74
1913;2880472;F19;;One-way street;12/08/2022;158625.31;205388.36
1916;2880481;C1;;One-way street;12/08/2022;158619.58;205383.8
1918;2880486;F111;;Bicycle road;12/08/2022;158587.23;205492.61
1921;2880502;A14;;Speed bump;12/08/2022;159567.4;204482.59
1925;2882079;C1;;One-way street;10/06/2022;215509.91;189166.53
1930;2882515;F4a;;Speed limit zone;10/06/2022;109782.878;196725.37
1931;2882520;F4b | E9b | GXa;;End of speed limit zone|Parking for cars only;10/06/2022;109794.376;196739.623
1934;2882533;F4a | F1a | E1 | GXa;Sint-Amandsberg,Gent;Speed limit zone|No Parking;10/06/2022;108879.593;196506.594
1935;2882536;F4a;;Speed limit zone;10/06/2022;109953.447;196645.316
1936;2882541;C3 | GIV;UITGEZONDERD,PLAATSELIJK VERKEER;All vehicles prohibited;10/06/2022;108935.754;195784.865
1937;2882542;B1;;Give way;10/06/2022;108679.017;196242.841
1939;2882554;B5 | F3a | F4b;Gent,Sint-Amandsberg;Stop sign|End of speed limit zone;10/06/2022;108281.65;195874.323
1940;2882560;C1 | M12 | F3a | F4b;Gent,Sint-Amandsberg;One-way street|End of speed limit zone;10/06/2022;108859.863;196478.704
1942;2882572;A23 | F4a | F1a;Sint-Amandsberg,Gent;School children crossing the way near school|Speed limit zone;10/06/2022;108604.717;196158.102
1943;2882575;F3a | F4b;Gent,Sint-Amandsberg;End of speed limit zone;10/06/2022;107804.622;195288.102
1946;2882590;F3a | F4b;Gent,Oostakker;End of speed limit zone;10/06/2022;109294.752;196866.195
1947;2882594;C1;;One-way street;10/06/2022;108681.656;196223.683
1948;2882595;B1;;Give way;10/06/2022;108681.656;196223.683
1950;2882605;F3a | F4b;Gent,Sint-Amandsberg;End of speed limit zone;10/06/2022;110104.977;195667.92
1951;2882610;A23 | F4a | F1a;Sint-Amandsberg,Gent;School children crossing the way near school|Speed limit zone;10/06/2022;108605.249;196140.401
1952;2882611;F4b;;End of speed limit zone;10/06/2022;109955.034;196636.295
1953;2882617;F19 | M5;;One-way street|Not oneway for bicycles and mofas;10/06/2022;108782.17;196346.82
1954;2882620;F4a | F1a;Sint-Amandsberg,Gent;Speed limit zone;10/06/2022;107790.361;195272.192
1955;2882626;C3 | GIV;UITGEZONDERD,PLAATSELIJK VERKEER;All vehicles prohibited;10/06/2022;108920.056;195865.329
1957;2882636;F4b;;End of speed limit zone;10/06/2022;107665.483;194873.324
1959;2882641;F4a | F1a;Sint-Amandsberg,Gent;Speed limit zone;10/06/2022;108269.413;195866.842
1960;2882644;F4a | F1a;Oostakker,Gent;Speed limit zone;10/06/2022;109284.504;196858.828
1961;2882648;B1;;Give way;10/06/2022;108690.481;196216.606
1962;2882649;C1;;One-way street;10/06/2022;108690.481;196216.606
1963;2882654;F4a | F1a;Sint-Amandsberg,Gent;Speed limit zone;10/06/2022;108112.192;195776.028
1964;2882657;B1;;Give way;10/06/2022;110101.818;195668.136
1965;2882662;A39 | C43 (zone) | F1a;30|Sint-Amandsberg,Gent;Bidirectional traffic;10/06/2022;108844.827;196479.888
1967;2882674;F4a | E1 | GXa;;Speed limit zone|No Parking;10/06/2022;108455.942;196010.872
1968;2882677;B15a | F4a | F1a;Sint-Amandsberg,Gent;Speed limit zone;10/06/2022;108677.608;196229.422
1970;2882681;B1;;Give way;10/06/2022;108533.76;195922.152
1972;2882691;B1 | F3a | F4b;Gent,Sint-Amandsberg;Give way|End of speed limit zone;10/06/2022;108113.83;195786.796
1973;2882694;F3a | F4b;Gent,Sint-Amandsberg;End of speed limit zone;10/06/2022;108890.162;196513.036
1976;2882707;F4b | F3a;Gent,Sint-Amandsberg;End of speed limit zone;10/06/2022;108683.824;196238.688
1977;2882710;C43 | F3a;50|Gent,Sint-Amandsberg;Speed limit;10/06/2022;110348.219;195792.035
1978;2882873;B1;;Give way;09/08/2022;64670.94;202811.71
1979;2883418;C1;;One-way street;08/07/2022;67890.68;210839.4
1983;2883849;F19 | M17 | E9a | GIII | GXa;;One-way street|Parking;10/08/2022;104912.254;193713.751
1984;2884157;A21 | A51 | GIII;RUITERS;Pedestrian crossing|General danger;11/08/2022;76228.477;200479.164
1988;2929403;F4a;;Speed limit zone;10/06/2022;110326.526;195790.449
1989;2929409;F4a;;Speed limit zone;10/06/2022;107669.61;194864.752
1990;2929416;A25 | GIa;50m;Bicycle crossing;10/06/2022;107609.893;194853.964
1992;2929459;F3a | F4b;Gent,Sint-Amandsberg;End of speed limit zone;10/06/2022;110104.977;195667.92
1993;2929468;F4a | F1a;Sint-Amandsberg,Gent;Speed limit zone;10/06/2022;107790.361;195272.192
1994;2929472;F3a | F4b;Gent,Sint-Amandsberg;End of speed limit zone;10/06/2022;110327.276;195784.949
1995;2929554;F4a;;Speed limit zone;10/06/2022;110111.317;195674.757
1996;2929561;B1;;Give way;10/06/2022;108533.76;195922.152
1997;2929578;C43;50;Speed limit;10/06/2022;110348.219;195792.035
2001;2943751;B1;;Give way;10/06/2022;168159.188;216687.063
2002;2944994;B1;;Give way;12/08/2022;205872.781;167361.813
2006;2945441;B1;;Give way;09/06/2022;223102.589;178602.59
2009;2945894;F4b | F111 (zone);"ja,F111,[""400x600""],";End of speed limit zone;08/09/2022;68205.75;170692.15
2010;2945900;F4a | F111 (zone);"neen,F111,[""400x600""],";Speed limit zone;08/09/2022;68202.23;170703.28
2011;2945924;C11;;Bicycles prohibited;08/09/2022;167251.027;205050.589
2019;2945958;C21 (zone) | F45b;"neen,C21,[""400"",3.5],Uitgezonderd bus en  laden en lossen";No exit, except for bicycle;08/09/2022;167025.048;204951.673
2020;2945973;GIa | A25;m,10;Bicycle crossing;08/09/2022;198499.89;185959.1
2022;2946019;F12b;;End of Living street;12/09/2022;191360.75;223783.375
2023;2946027;F45b | F12a;;No exit, except for bicycle|Living street;12/09/2022;191366.5;223784.375
2030;2946255;A14;;Speed bump;09/09/2022;166995.7;203396.821
2039;2946323;C43;50;Speed limit;08/09/2022;65819.204;205226.593
2040;2946393;F19;;One-way street;09/09/2022;155570.688;221007.906
2041;2946394;C1;;One-way street;09/09/2022;155565.812;221004.656
2042;2946395;C1;;One-way street;09/09/2022;155555.812;220997.406
2043;2946396;F19;;One-way street;09/09/2022;155550.312;220993.781
2046;2947147;F4b;;End of speed limit zone;09/09/2022;104331.091;196312.285
2047;2947148;F4a;;Speed limit zone;09/09/2022;104328.154;196317.286
2048;2947173;F4b;;End of speed limit zone;08/09/2022;105913.942;191712.978
2049;2947175;B1 | F4b;;Give way|End of speed limit zone;08/09/2022;105882.07;191724.817
2050;2947177;F12b | F4a;;End of Living street|Speed limit zone;08/09/2022;105871.301;192156.421
2051;2947180;F4b | FtsRt;LF 30b,Deltaroute,Schelde-,sy-S302;End of speed limit zone;08/09/2022;105947.782;192535.157
2052;2947181;F4a;;Speed limit zone;08/09/2022;105904.321;191720.628
2053;2947185;F4a;;Speed limit zone;08/09/2022;105917.051;191709.208
2054;2947189;C3 | M11;;All vehicles prohibited|Only applies to link road;08/09/2022;105853.933;192158.514
2055;2947191;F4a | F33a;Centrum;Speed limit zone;08/09/2022;105884.79;191722.31
2056;2947192;F4b;;End of speed limit zone;08/09/2022;105913.942;191712.978
2057;2947194;B1 | F4b;;Give way|End of speed limit zone;08/09/2022;105882.07;191724.817
2058;2947199;C3 | M12 Klein | GVIIa | F4a;UITGEZONDERD HULP,,EN GEMEENTELIJKE,DIENSTEN;All vehicles prohibited|Speed limit zone;08/09/2022;105942.05;192537.769
2060;2947203;F4a;;Speed limit zone;08/09/2022;105917.051;191709.208
2061;2947205;F4a | F33a;Centrum;Speed limit zone;08/09/2022;105884.79;191722.31
2062;2947209;C3 | M11 Klein | F12a | F4b;;All vehicles prohibited|Living street|End of speed limit zone;08/09/2022;105872.041;192160.019
2064;2947444;B5;;Stop sign;09/08/2022;69773.583;211069.047
2065;2948067;F19 | M17 Klein | E1 | GXd;;One-way street|No Parking;12/09/2022;104091.474;193723.343
2066;2948330;C43;Neen,50;Speed limit;09/08/2022;191923.344;166187.406
2067;2948331;C43;Neen,50;Speed limit;09/08/2022;191906.219;166213.906
2068;2948332;C43;Neen,50;Speed limit;09/08/2022;192270.094;166211.656
2069;2948333;C43;Neen,50;Speed limit;09/08/2022;192241.094;166223.281
2070;2948334;C43;Neen,50;Speed limit;09/08/2022;192600.969;166137.156
2071;2948335;C43;Neen,50;Speed limit;09/08/2022;192595.219;166175.156
2072;2948336;C43;Neen,50;Speed limit;09/08/2022;192651.219;166076.031
2073;2948337;C43;Neen,50;Speed limit;09/08/2022;192638.969;166050.531
2074;2948338;C43;Neen,50;Speed limit;09/08/2022;192630.969;165928.531
2075;2948339;C43;Neen,50;Speed limit;09/08/2022;192651.594;165940.906
2076;2948340;C43;Neen,50;Speed limit;09/08/2022;192597.719;165838.906
2077;2948341;C43;Neen,50;Speed limit;09/08/2022;192531.875;165616.75
2078;2948342;C43;Neen,50;Speed limit;09/08/2022;192621.344;165852.031
2079;2948346;C43;Neen,50;Speed limit;09/08/2022;192558.094;165739.531
2080;2948413;C3 | GIV | M3bis;UITGEZONDERD ,VERGUNNINGHOUDERS|S148,S147,UITGEZONDERD,   ;All vehicles prohibited;08/09/2022;105227.244;193514.431
2081;2948416;C3 | GIV | M3bis;UITGEZONDERD BUS, TAXI EN,PRIORITAIRE VOERTUIGEN|S148,S147,UITGEZONDERD,   ;All vehicles prohibited;08/09/2022;105227.244;193514.431
2083;2948432;C1 | GV | M11;,,UITGEZONDERD,BUS;One-way street|Only applies to link road;08/09/2022;105305.411;193357.526
2084;2948486;C3 | GIII | F12a | F113;UITGEZONDERD,,en vergunninghouders,van 18u - 11u,S148,S147,A, P;All vehicles prohibited|Living street;08/09/2022;104868.652;193765.977
2085;2948488;F111 | F12b;;Bicycle road|End of Living street;08/09/2022;104868.652;193765.977
2091;2949770;F49 | F50;;Pedestrian crossing|Bicycle crossing;12/09/2022;106733.75;192705.45
2092;2949840;C3 | M12 Klein | GV;UITGEZONDERD,,DIENSTEN;All vehicles prohibited;12/09/2022;107520.897;192138.522
2106;2951520;GVIII | B1;3,van boven naar links,onder;Give way;11/02/2022;65069.5;181881.084
2110;2953278;B1;;Give way;12/05/2022;187253.64;210717.68
2111;2953304;F45b;;No exit, except for bicycle;09/05/2022;192820.0;215153.6
2112;2953305;F45b;;No exit, except for bicycle;09/05/2022;193106.22;215336.99
2113;2953307;F45b;;No exit, except for bicycle;09/05/2022;192977.38;215256.3
2114;2953443;B1;;Give way;10/02/2022;105416.09;176188.714
2116;2953923;C5-C7;;Motorcars and motorcycles prohibited;09/09/2022;103249.816;191352.794
2117;2954098;F19 | M18;;One-way street;09/09/2022;63292.532;181735.183
2118;2954162;F4b;;End of speed limit zone;01/03/2023;63430.752;182451.427
2122;2956588;F4b | B1;;End of speed limit zone|Give way;01/01/2023;64014.578;182437.781
2123;2956776;F4b | F3a;Gent,Oostakker;End of speed limit zone;10/06/2022;109294.752;196866.195
2125;2957295;M7 | D7 | 25kmu;;Mopeds Class B forbidden on cycleway;11/05/2022;153069.53;207315.379
2126;2957317;M11 | C1;;Only applies to link road|One-way street;11/05/2022;151594.149;208918.707
2127;2957345;F4a;;Speed limit zone;11/05/2022;153271.452;207417.006
2128;2957348;F4b | B1;;End of speed limit zone|Give way;11/05/2022;153132.186;207335.21
2130;2957380;M7 | 25kmu | D7;;Mopeds Class B forbidden on cycleway;11/05/2022;153399.549;207480.709
2131;2957458;C1 | M11;;One-way street|Only applies to link road;11/05/2022;151733.756;208810.906
2132;2957488;C1 | M11;;One-way street|Only applies to link road;11/05/2022;151551.676;209097.182
2136;2958307;C1 | M11;stemp,UITGEZONDERD,S221,P;One-way street|Only applies to link road;08/07/2022;150868.422;212779.579
2137;2958309;C1 | M11;stemp,UITGEZONDERD,S221, P;One-way street|Only applies to link road;08/07/2022;151020.534;212768.145
2138;2958355;C1 | M11;stemp,UITGEZONDERD,S221,P;One-way street|Only applies to link road;08/07/2022;150812.217;212800.928
2140;2958616;F12a;;Living street;08/04/2022;149788.44;212165.584
2141;2958618;F12b;;End of Living street;08/04/2022;149680.696;212163.476
2142;2958619;F12a;;Living street;08/04/2022;149682.172;212151.194
2145;2960150;C43 | GVI;Neen,50;Speed limit;08/07/2022;252096.79;160574.2
2146;2961475;F4a;;Speed limit zone;09/10/2022;103226.662;191907.573
2147;2961490;F4b;;End of speed limit zone;09/10/2022;103221.371;191906.25
2157;2962086;B1;;Give way;10/10/2022;155735.375;191645.438
2159;2962127;B9 | C43 | F13;Neen,90|3,rechts,geen pijl,geen pijl,stippellijn;Priority road|Speed limit;10/10/2022;218334.938;181565.656
2160;2962131;GIa | A25;m,120;Bicycle crossing;10/10/2022;50188.438;185206.063
2161;2962145;GIa | A25;m,100;Bicycle crossing;10/10/2022;50187.438;185445.563
2166;2962889;C43;Neen,50;Speed limit;11/10/2022;242008.625;204469.0
2167;2962890;C43;Neen,50;Speed limit;11/10/2022;242011.125;204456.125
2171;2962962;GIa | A25;m,50;Bicycle crossing;11/10/2022;56971.313;191052.5
2172;2962982;GIa | A25;m,50;Bicycle crossing;11/10/2022;57260.063;191144.75
2173;2963000;A25 | GIa;m,40;Bicycle crossing;10/10/2022;51389.313;190341.0
2174;2963002;GIa | A25;m,40;Bicycle crossing;10/10/2022;51440.563;190295.125
2175;2963080;GIa | A14;m,50;Speed bump;11/10/2022;59576.375;220858.188
2177;2963427;B1;;Give way;11/10/2022;155709.984;191611.547
2178;2963502;C43 (zone) | C21 | GIV;"neen,C43,[""400"",""Neen"",""50""],|3.5|Tekst,UITGEZONDERD PLAATSELIJK VERKEER";Weight limit;11/05/2022;238099.812;193370.969
2179;2963637;B1;;Give way;11/10/2022;93663.156;179001.636
2180;2963644;GIa | A25;m,30;Bicycle crossing;11/10/2022;43541.5;169711.0
2181;2963688;GIa | A25;m,40;Bicycle crossing;10/10/2022;51440.563;190295.125
2182;2963690;A25 | GIa;m,40;Bicycle crossing;10/10/2022;51389.313;190341.0
2183;2963954;GVIIa | M12 Klein | F12a | C3;UITGEZONDERD,,LEVERINGEN KETELVEST;Living street|All vehicles prohibited;11/10/2022;104603.339;193392.697
2184;2963956;E9a | M1;;Parking|Only for bicycles;11/10/2022;104557.245;193353.006
2185;2963959;F49;;Pedestrian crossing;11/10/2022;104445.573;193899.613
2186;2963976;C3 | GIV | F12a | F19 | M18;UITGEZONDERD ,PLAATSELIJK VERKEER;All vehicles prohibited|Living street|One-way street;11/10/2022;104616.918;193316.95
2188;2964022;B1;;Give way;09/05/2022;103095.743;192930.35
2189;2964023;B1;;Give way;09/05/2022;103141.507;192931.609
2191;2964053;C35 | E1 | GXd;;No overtaking|No Parking;08/09/2022;102542.044;192383.338
2192;2964059;C3 | M11 | F113 (zone);;All vehicles prohibited|Only applies to link road;08/09/2022;103851.491;191820.822
2194;2964068;B1 | D1e | M12 | F111 (zone);;Give way;08/09/2022;103934.193;191778.989
2196;2964079;D10;;Pedestrian and bicycle path;08/09/2022;102631.378;192560.577
2199;2964097;A51 | GII | C43 | GIV;SNELHEIDSREMMER,300m|50|HERHALING;General danger|Speed limit;08/09/2022;102318.234;192032.24
2200;2964102;C25 | F19;7m;Length limit|One-way street;08/09/2022;103671.189;191810.63
2201;2964114;B1;;Give way;08/09/2022;102381.675;192145.998
2202;2964119;A51 | D7 | GIV | C35;SNELHEIDSREMMER,75m;General danger|No overtaking;08/09/2022;102526.619;192370.102
2203;2964120;B1;;Give way;08/09/2022;102526.619;192370.102
2204;2964125;C43 | GVI;50|HERHALING;Speed limit;08/09/2022;102558.117;192428.172
2206;2964145;C35 | E1 | GXa;;No overtaking|No Parking;08/09/2022;102322.452;192041.383
2207;2964154;C3 | M12 Klein;;All vehicles prohibited;08/09/2022;102496.512;192387.606
2208;2964157;F49 | F50;;Pedestrian crossing|Bicycle crossing;09/10/2022;103544.745;191159.092
2210;2964162;M12 Klein | C3;;All vehicles prohibited;08/09/2022;102499.513;192303.589
2211;2964168;F19 | M18 | F113;;One-way street;08/09/2022;103847.998;191809.771
2216;2964275;A14;;Speed bump;11/10/2022;86604.906;193728.625
2217;2964276;F87;;Speed bump;11/10/2022;86648.063;193586.188
2218;2964400;F4b;;End of speed limit zone;12/10/2022;52575.062;211054.875
2221;2964474;C43;Neen,30;Speed limit;12/10/2022;51176.438;211262.438
2231;2964812;C43;Neen,70;Speed limit;12/10/2022;192035.75;192731.5
2232;2965094;C43;Neen,50;Speed limit;12/10/2022;240120.0;204389.5
2233;2965096;C43;Neen,50;Speed limit;12/10/2022;240120.0;204403.0
2234;2965105;C43;Neen,50;Speed limit;12/10/2022;240555.0;204417.5
2235;2965106;C43;Neen,50;Speed limit;12/10/2022;240556.75;204404.5
2236;2965111;C43;Neen,50;Speed limit;12/10/2022;241465.25;204385.0
2237;2965115;C43;Neen,50;Speed limit;12/10/2022;241464.0;204396.75
2239;2965197;F4b | C21 (zone);"ja,C21,[""400"",3.5],";End of speed limit zone;12/10/2022;47859.375;213886.875
2244;2966572;B1 | D1e | M12 | F111 (zone);;Give way;10/06/2022;103805.257;198057.715
2246;2966584;B1 | D1e | M12 | F111 (zone);;Give way;10/06/2022;103797.76;198222.844
2250;2966607;C21 | GIV | F113 (zone);5;Weight limit;10/06/2022;103803.879;198464.526
2251;2966610;B1 | F111 (zone);;Give way;10/06/2022;103821.534;198301.417
2252;2966614;C1 | M12;;One-way street;10/06/2022;103812.95;198051.722
2254;2966619;C1 | M12;;One-way street;10/06/2022;103803.373;198218.085
2256;2966627;B1 | F111 (zone);;Give way;10/06/2022;103800.258;198472.109
2257;2966632;F19 | M18 | F113 (zone);;One-way street;10/06/2022;103811.259;198290.288
2259;2966637;F19 | M18;;One-way street;10/06/2022;103820.338;198069.089
2260;2966639;B1 | F111 (zone);;Give way;10/06/2022;103777.947;198495.951
2261;2966643;C1 | M12;;One-way street;10/06/2022;103818.297;197964.443
2266;2966661;F19 | M18;;One-way street;10/06/2022;103825.854;197983.98
2268;2966930;A14;;Speed bump;11/10/2022;86626.688;193322.563
2269;2966964;F87;;Speed bump;11/10/2022;86670.125;193454.813
2270;2967388;C43;Neen,50;Speed limit;12/10/2022;240120.0;204403.0
2271;2967389;C43;Neen,50;Speed limit;12/10/2022;240120.0;204389.5
2274;2967406;C43;Neen,50;Speed limit;12/10/2022;241464.0;204396.75
2276;2967411;C43;Neen,50;Speed limit;12/10/2022;241465.25;204385.0
2277;2967445;C43;Neen,50;Speed limit;11/10/2022;242011.125;204456.125
2278;2967447;C43;Neen,50;Speed limit;11/10/2022;242008.625;204469.0
2279;2967458;C43;Neen,50;Speed limit;12/10/2022;240556.75;204404.5
2280;2967459;C43;Neen,50;Speed limit;12/10/2022;240555.0;204417.5
2282;2967641;C43 | B9;Neen,90;Speed limit|Priority road;12/10/2022;218446.563;181502.625
2287;2969827;F4a;;Speed limit zone;09/10/2022;155533.375;178687.562
2288;2969829;F4b;;End of speed limit zone;09/10/2022;155535.594;178684.656
2290;2970472;F12a;;Living street;10/10/2022;103726.312;192482.52
2292;2970504;B1 | D1f | M12 | Reflecterende koker;;Give way;10/10/2022;103794.609;192488.428
2297;2972924;B9 | C43;Neen,70;Priority road|Speed limit;11/10/2022;84753.524;173950.085
2299;2972944;C1;;One-way street;11/10/2022;84782.03;173936.7
2300;2972947;C1;;One-way street;11/10/2022;84777.72;173931.02
2302;2972974;C43 | B9;Neen,70;Speed limit|Priority road;11/10/2022;84762.49;173961.31
2303;2972977;B5 | D1a;;Stop sign;11/10/2022;84767.82;173925.17
2304;2972982;B5 | D1e;;Stop sign;11/10/2022;84802.89;173902.94
2305;2972983;C1;;One-way street;11/10/2022;84802.89;173902.94
2306;2972988;F13 | B9 | C43;2,rechtdoor,rechtdoor en links,volle lijn|Neen,50;Priority road|Speed limit;11/10/2022;84814.29;173891.11
2309;2973044;F13 | C43 | B9;2,rechtdoor,rechtdoor en links,volle lijn|Neen,50;Speed limit|Priority road;11/10/2022;84806.54;173885.52
2310;2973055;C1;;One-way street;11/10/2022;84803.48;173882.82
2312;2973061;C1;;One-way street;11/10/2022;84783.53;173896.42
2314;2973075;D1a | B5;;Stop sign;11/10/2022;84759.62;173919.94
2315;2973079;C1;;One-way street;11/10/2022;84763.77;173929.72
2316;2973110;B1;;Give way;11/10/2022;84622.199;174036.71
2317;2973112;B1;;Give way;11/10/2022;84623.348;174038.249
2318;2973122;B1;;Give way;11/10/2022;84599.75;174044.64
2319;2973129;B1;;Give way;11/10/2022;84621.042;174077.19
2320;2973140;C43 | B9;Neen,70;Speed limit|Priority road;11/10/2022;84632.41;174042.64
2321;2973164;C11 | C43 | B9;Neen,70;Bicycles prohibited|Speed limit|Priority road;11/10/2022;84633.27;174034.03
2326;2975856;B1 | C43 (zone);"ja,C43,[""400"",""Neen"",""50""],";Give way;08/08/2022;182723.5;187856.969
2327;2975858;F45b | C43 (zone);"neen,C43,[""400"",""Neen"",""50""],";No exit, except for bicycle;08/08/2022;182715.875;187847.031
2328;2975873;M3 | F1a | C3 | XX;Aarschot,|Uitgezonderd plaatselijk  verkeer;Except for bicycles and mopeds|All vehicles prohibited;12/08/2022;182441.18;187828.93
2329;2976183;C43 | F45;Neen,50|Geen;Speed limit|No exit;09/08/2022;186647.531;190209.156
2330;2977244;C21 | GIV;3|UITGEZONDERD,PLAATSELIJKE BEDIENING;Weight limit;09/08/2022;103381.723;192239.261
2331;2977271;C21 | GIV;3|UITGEZONDERD,PLAATSELIJKE BEDIENING;Weight limit;09/08/2022;103404.57;192228.031
2334;2977761;B5;;Stop sign;12/05/2022;221977.125;179109.688
2337;2978187;F27 | F49;S343,A49;Pedestrian crossing;11/01/2022;103843.406;194453.406
2339;2978210;B1;;Give way;09/05/2022;103245.939;192919.339
2342;2978226;B1;;Give way;09/05/2022;103118.761;192931.276
2346;2978240;B1;;Give way;09/05/2022;103222.046;192924.68
